id,duration_ms,danceability,energy,popularity,speechiness,acousticness,instrumentalness,release_year,id_artist_encoded,week,weekly_popularity_score,name
003FTlCpBTM4eSqYSWPv4H,233267,0.553,0.717,69.0,0.0318,6.48e-05,0.128,2002,729,2024-12-30/2025-01-05,1.0,"Swing, Swing"
003vvx7Niy0yvhvHt4a68B,222973,0.352,0.911,82.0,0.0747,0.0012100000000000001,0.0,2004,30,2024-12-23/2024-12-29,0.5,Mr. Brightside
005Dlt8Xaz3DkaXiRJgdiS,405120,0.715,0.621,66.0,0.0341,0.117,1.07e-06,1994,131,2024-12-02/2024-12-08,1.8,Historia de Taxi
005lwxGU1tms6HGELIcUv9,179640,0.6990000000000001,0.76,71.0,0.06770000000000001,0.00223,0.0,2008,1414,2024-12-30/2025-01-05,1.8,I Kissed A Girl
009ImBOrIUlWgla8U05RAC,228879,0.432,0.725,73.0,0.0431,0.0027300000000000002,0.0,2013,1224,2024-12-02/2024-12-08,1.3,Unconditionally
00Amd2EiGo17YoZyOjk3VV,354333,0.445,0.628,51.0,0.0623,0.358,0.686,1980,1339,2024-12-16/2024-12-22,4.4,A Forest
00BHe2yBtdOzhKPmI7rpTE,235067,0.8180000000000001,0.579,63.0,0.101,0.023,0.0,2004,172,2024-12-23/2024-12-29,1.8,Locked Up
00Ec4qjKRWzwidhmCLqEPd,249880,0.549,0.482,52.0,0.0313,0.773,0.0,2006,832,2024-12-09/2024-12-15,1.8,Imagíname Sin Ti
00FROhC5g4iJdax5US8jRr,286441,0.764,0.594,55.0,0.185,0.591,0.0,1999,955,2024-12-30/2025-01-05,1.8,Satisfy You
00GOPLxW4PGQuUYdPJh8K1,180675,0.71,0.47000000000000003,72.0,0.14200000000000002,0.154,0.0,2013,1283,2024-12-02/2024-12-08,0.5,IV. Sweatpants
00GbPd84bEyYS477RSymJW,181093,0.856,0.728,64.0,0.0916,0.135,1e-06,2018,1414,2024-10-21/2024-10-27,0.5,Tanta Falta
00Hlym039AB1cZPzgJVi5s,163813,0.513,0.9490000000000001,53.0,0.0454,5.380000000000001e-05,0.919,2010,510,2024-12-30/2025-01-05,1.8,Lethal Industry - Radio Edit
00IrSynHsun7DpDrLkRIjM,239693,0.62,0.7030000000000001,54.0,0.08360000000000001,0.47900000000000004,0.0,1986,406,2024-12-30/2025-01-05,2.3,The Boy In the Bubble
00Mb3DuaIH1kjrwOku9CGU,204000,0.487,0.9,78.0,0.0482,6.790000000000001e-05,0.0,2002,153,2024-12-23/2024-12-29,1.8,Sk8er Boi
00NAQYOP4AmWR549nnYJZu,265600,0.664,0.771,72.0,0.0533,0.0155,9.6e-06,2016,263,2024-10-07/2024-10-13,1.8,Secrets
00NUqFMIpCsrYPbM9YpVHQ,198280,0.504,0.856,54.0,0.28600000000000003,0.0114,0.0,2011,937,2024-12-02/2024-12-08,1.8,MegaMan
00U0pedRUMEzREpyRqbVT6,263813,0.6910000000000001,0.601,53.0,0.042800000000000005,0.628,0.017,1995,1414,2024-12-16/2024-12-22,3.8,I'll Remember (Theme from the Motion Picture With Honors)
00WvmRXTkPBZNhhRK3xfdy,214333,0.775,0.8160000000000001,62.0,0.0281,0.164,0.0,1996,1067,2024-12-30/2025-01-05,1.8,As Long as You Love Me
00cBcYOlnHoXX9ver3cmdE,225680,0.598,0.295,73.0,0.027600000000000003,0.735,0.0,2020,1108,2024-12-02/2024-12-08,1.0,A Little Bit Yours
00cxhG668jV6gU6VK2FUVI,333680,0.787,0.808,59.0,0.0511,0.0143,0.257,2007,1305,2024-12-02/2024-12-08,1.0,Acceptable in the 80's
